GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,GRADE
MALE,23,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10.5,0,0,B-
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,11.5,3.428571429,5.87755102,B+
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,2,3.428571429,B+
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,13.13,3.714285714,6.367346939,A
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10,1.571428571,2.693877551,B
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.5,2.571428571,4.408163265,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,11,1,1.714285714,B-
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.75,0.857142857,1.469387755,B+
MALE,25,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10,2.714285714,4.653061224,B
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10,1.142857143,1.959183673,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.38,0.857142857,1.469387755,B+
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.63,0.714285714,1.224489796,B+
MALE,26,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10.25,3.571428571,6.12244898,B
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.5,1.571428571,2.693877551,A-
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,12.75,0.571428571,0.979591837,B+
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,12,1,1.714285714,A-
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.5,2.142857143,3.673469388,B
MALE,25,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,8.25,0.714285714,1.224489796,B
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,1.285714286,2.204081633,B
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.25,1.142857143,1.959183673,B+
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.5,0.571428571,0.979591837,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10,2.714285714,4.653061224,B+
