GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,GRADE
MALE,23,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10.5,0,0,0,0,B-
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,11.5,3.428571429,5.87755102,6.297376093,4.798000833,B+
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,2,3.428571429,3.673469388,2.798833819,B+
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,13.13,3.714285714,6.367346939,6.822157434,5.197834236,A
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10,1.571428571,2.693877551,2.886297376,2.199083715,B
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.5,2.571428571,4.408163265,4.72303207,3.598500625,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,11,1,1.714285714,1.836734694,1.39941691,B-
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.75,0.857142857,1.469387755,1.574344023,1.199500208,B+
MALE,25,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10,2.714285714,4.653061224,4.985422741,3.798417326,B
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10,1.142857143,1.959183673,2.099125364,1.599333611,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.38,0.857142857,1.469387755,1.574344023,1.199500208,B+
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.63,0.714285714,1.224489796,1.311953353,0.999583507,B+
MALE,26,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10.25,3.571428571,6.12244898,6.559766764,4.997917534,B
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.5,1.571428571,2.693877551,2.886297376,2.199083715,A-
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,12.75,0.571428571,0.979591837,1.049562682,0.799666805,B+
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,12,1,1.714285714,1.836734694,1.39941691,A-
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.5,2.142857143,3.673469388,3.935860058,2.998750521,B
MALE,25,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,8.25,0.714285714,1.224489796,1.311953353,0.999583507,B
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,1.285714286,2.204081633,2.361516035,1.799250312,B
