GENDER,AGE,COUNTRY,TYPE_SPONSOR,NAMA KURSUS,PERCENTAGE STUDENT W1-7,FreqW1,FreqW2,FreqW3,FreqW4,FreqW5,FreqW6,GRADE
MALE,23,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10.5,0,0,0,0,0,0,B-
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,11.5,3.428571429,5.87755102,6.297376093,4.798000833,2.570357589,0.881265459,B+
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,2,3.428571429,3.673469388,2.798833819,1.49937526,0.514071518,B+
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,13.13,3.714285714,6.367346939,6.822157434,5.197834236,2.784554055,0.954704247,A
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10,1.571428571,2.693877551,2.886297376,2.199083715,1.178080562,0.403913335,B
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.5,2.571428571,4.408163265,4.72303207,3.598500625,1.927768192,0.660949094,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,11,1,1.714285714,1.836734694,1.39941691,0.74968763,0.257035759,B-
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.75,0.857142857,1.469387755,1.574344023,1.199500208,0.642589397,0.220316365,B+
MALE,25,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10,2.714285714,4.653061224,4.985422741,3.798417326,2.034866425,0.697668488,B
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10,1.142857143,1.959183673,2.099125364,1.599333611,0.856785863,0.293755153,B+
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.38,0.857142857,1.469387755,1.574344023,1.199500208,0.642589397,0.220316365,B+
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.63,0.714285714,1.224489796,1.311953353,0.999583507,0.535491164,0.183596971,B+
MALE,26,CHINA,TIADA PENAJA,AGEN KOMPUTERAN,10.25,3.571428571,6.12244898,6.559766764,4.997917534,2.677455822,0.917984853,B
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12.5,1.571428571,2.693877551,2.886297376,2.199083715,1.178080562,0.403913335,A-
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,12.75,0.571428571,0.979591837,1.049562682,0.799666805,0.428392932,0.146877577,B+
MALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,12,1,1.714285714,1.836734694,1.39941691,0.74968763,0.257035759,A-
MALE,25,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,8.5,2.142857143,3.673469388,3.935860058,2.998750521,1.606473493,0.550790912,B
MALE,25,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,8.25,0.714285714,1.224489796,1.311953353,0.999583507,0.535491164,0.183596971,B
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,11.25,1.285714286,2.204081633,2.361516035,1.799250312,0.963884096,0.330474547,B
MALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9.25,1.142857143,1.959183673,2.099125364,1.599333611,0.856785863,0.293755153,B+
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,10.5,0.571428571,0.979591837,1.049562682,0.799666805,0.428392932,0.146877577,B+
FEMALE,24,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,10,2.714285714,4.653061224,4.985422741,3.798417326,2.034866425,0.697668488,B+
FEMALE,24,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,12,0,0,0,0,0,0,B-
MALE,23,MALAYSIA,TIADA PENAJA,AGEN KOMPUTERAN,13.5,0.285714286,0.489795918,0.524781341,0.399833403,0.214196466,0.073438788,A-
FEMALE,23,MALAYSIA,PINJAMAN,AGEN KOMPUTERAN,9,0.714285714,1.224489796,1.311953353,0.999583507,0.535491164,0.183596971,B
