Course,Best Model ,Accuracy (%)
KENYATAAN MAYA,eLSTM F1V1,77.88
PENGATURCARAAN SHELL,eLSTM F1V1,80.79
ANTARA RANGKAIAN,eLSTM F1V1,83.58
STRUKTUR DISKRET,eLSTM F1V1,83.68
PEMBANGUNAN PERISIAN SELAMAT,eLSTM F1V1,90.54
KOMPUTERAN CERDAS,eLSTM F1V1,91.11
APLIKASI BERGERAK,eLSTM F1V1,91.34
KESELAMATAN SISTEM KOMPUTER,eLSTM F1V1,91.55
STRUKTUR DATA DAN ALGORITMA,eLSTM F1V1,92.85
PENGATURCARAAN SELARI DAN TERAGIH,eLSTM F1V1,93.31
SISTEM PENGOPERASIAN,eLSTM F1V1,93.64
FORENSIK KOMPUTER,eLSTM F1V1,94.53
KESELAMATAN PANGKALAN DATA,eLSTM F1V1,94.62
PENYELENGGARAAN DAN EVOLUSI PERISIAN,eLSTM F1V1,94.81
STATISTIK BAGI SAINS KOMPUTER,eLSTM F1V1,95.06
KRIPTOGRAFI,eLSTM F1V1,95.51
ANALISIS DAN REKA BENTUK RANGKAIAN,eLSTM F1V1,96.19
AGEN KOMPUTERAN,eLSTM F1V1,97.38
PEMBANGUNAN APLIKASI WEB,eLSTM F1V1,98.72
PENGATURCARAAN C++,eLSTM F1V1,98.81
PENGKOMPUTAN SELARI DAN TERAGIH,eLSTM F1V1,98.88
PENGATURCARAAN KOMPUTER II,eLSTM F1V1,99.03
PROJEK KEJURUTERAAN PERISIAN BERPASUKAN,eLSTM F1V1,99.05
ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,eLSTM F1V1,99.17
SISTEM BERASASKAN PENGETAHUAN,eLSTM F1V1,99.38
PEMBANGUNAN PERMAINAN KOMPUTER,eLSTM F1V1,99.46
PENDIGITAN AUDIO TAMPAK,eLSTM F1V1,99.58
KUALITI PERISIAN,eLSTM F1V1,99.62
PENGURUSAN RANGKAIAN,eLSTM F1V1,99.62
PENGATURCARAAN KOMPUTER I,eLSTM F1V1,99.81
PENGUJIAN PERISIAN,eLSTM F1V1,99.81
ORGANISASI KOMPUTER DAN BAHASA HIMPUNAN,eLSTM F1V1,99.87
PEMBANGUNAN APLIKASI PANGKALAN DATA,eLSTM F1V1,99.99
PENGATURCARAAN PYTHON,eLSTM F1V1,100
PERDAGANGAN ELEKTRONIK,eLSTM F1V1,100
PEMBANGUNAN APLIKASI BERGERAKII,eLSTM F1V1,100
