Course,Best Model,AVG Accuracy ,Sem1-2020 Accuracy (%),Sem2-2020 Accuracy (%),Sem2-20201Accuracy (%),Sem1-20201Accuracy (%)
AGEN KOMPUTERAN,F1V2,88.79,97.38,99.61,58.15,100
ANALISIS DAN REKA BENTUK PERMAINAN KOMPUTER,F1V1,83.14,99.17,59.98,99.21,74.21
ANALISIS DAN REKA BENTUK RANGKAIAN,F2V1,82.6,96.19,97.31,99.59,37.29
ANALITIK BISNES,F1V1,77.38,41.99,100,88.41,79.11
ANTARA RANGKAIAN,F1V1,77.84,83.58,100,34.71,93.06
KESELAMATAN PANGKALAN DATA,F1V2,78.69,94.62,96.53,23.61,100
PEMBANGUNAN APLIKASI PANGKALAN DATA,F1V1,85.11,99.99,100,81.98,58.48
PEMBANGUNAN PERISIAN SELAMAT,F1V1,77.54,90.54,99.18,86.37,34.05
PENDIGITAN AUDIO TAMPAK,F1V1,78.82,99.58,99.81,98.86,17.01
PENGATURCARAAN KOMPUTER I,F1V1,84.18,99.81,100,99.98,36.91
PENGATURCARAAN KOMPUTER II,F1V2,81.36,99.03,81.98,44.44,100
PENGATURCARAAN SELARI DAN TERAGIH,F2V1,81.56,93.31,99.81,100,33.13
PENGATURCARAAN SHELL,F1V1,78.71,80.79,100,36.99,97.07
